clean_node,original_node,ontology_id,ontology_name,umls_id,label,match_score,semantic_type,source,alternative_matches
as small lumps or bumps under the skin,[Event: as small lumps or bumps under the skin],UNKNOWN:AS SMALL,UNKNOWN,,as small lumps or bumps under the skin,0.0,Medical Concept,fallback,[]
before an angiogram,[Event: before an angiogram],UNKNOWN:BEFORE A,UNKNOWN,,before an angiogram,0.0,Medical Concept,fallback,[]
binge eating disorder,[Event: binge eating disorder],C0596170,MTH,C0596170,Binge eating disorder,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C5926669"", ""name"": ""binge eating disorder, mild"", ""source"": ""MEDCIN"", ""score"": 0.8}, {""umls_id"": ""C5926672"", ""name"": ""binge eating disorder, extreme"", ""source"": ""MEDCIN"", ""score"": 0.8}, {""umls_id"": ""C5926670"", ""name"": ""binge eating disorder, moderate"", ""source"": ""MEDCIN"", ""score"": 0.8}]"
biopsy of the membrane that encloses one of the affected joints,[Event: biopsy of the membrane that encloses one of the affected joints],UNKNOWN:BIOPSY O,UNKNOWN,,biopsy of the membrane that encloses one of the affected joints,0.0,Medical Concept,fallback,[]
biopsy samples,biopsy samples,C4748842,OMIM,C4748842,Nasal biopsy samples show normal ciliary structure with normal dynein arms,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0587033"", ""name"": ""Muscle biopsy sample"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C5419058"", ""name"": ""Biopsy Sample Unique Identifier"", ""source"": ""NCI"", ""score"": 0.5}, {""umls_id"": ""C0677862"", ""name"": ""Biopsy specimen"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
biopsy,biopsy,C0005558,MTH,C0005558,Biopsy,1.0,Therapeutic or Preventive Procedure,umls_api,"[{""umls_id"": ""C0220797"", ""name"": ""biopsy characteristics"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0194073"", ""name"": ""Kidney biopsy"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0005954"", ""name"": ""Bone marrow biopsy"", ""source"": ""MTH"", ""score"": 0.8}]"
birth,[Event: birth],C0005615,MTH,C0005615,Birth,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C3245487"", ""name"": ""Name Given at Birth"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C1550722"", ""name"": ""Entity Name Part Qualifier - birth"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C1148523"", ""name"": ""Childbirth"", ""source"": ""MTH"", ""score"": 0.8}]"
bleeding after an injury,bleeding after an injury,C3278771,OMIM,C3278771,"Increased bleeding after trauma, surgery, or injury",0.5,Medical Concept,umls_api,[]
bleeding in the brain,[Event: bleeding in the brain],C0553692,MTH,C0553692,Brain hemorrhage,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C2937358"", ""name"": ""Cerebral Hemorrhage"", ""source"": ""MTH"", ""score"": 0.5}]"
bleeding into the esophagus or stomach,[Event: bleeding into the esophagus or stomach],UNKNOWN:BLEEDING,UNKNOWN,,bleeding into the esophagus or stomach,0.0,Medical Concept,fallback,[]
bleeding starts with no warning,[Event: bleeding starts with no warning],UNKNOWN:BLEEDING,UNKNOWN,,bleeding starts with no warning,0.0,Medical Concept,fallback,[]
bleeding,bleeding,C0032776,SNOMEDCT_US,C0032776,Postmenopausal bleeding,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C1458140"", ""name"": ""Bleeding tendency"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0271412"", ""name"": ""Bleeding from ear"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0239293"", ""name"": ""Esophageal bleeding"", ""source"": ""MTH"", ""score"": 0.8}]"
blister forms,[Event: blister forms],UNKNOWN:BLISTER ,UNKNOWN,,blister forms,0.0,Medical Concept,fallback,[]
block the flow of urine,[Event: block the flow of urine],UNKNOWN:BLOCK TH,UNKNOWN,,block the flow of urine,0.0,Medical Concept,fallback,[]
blockage in the common bile duct,blockage in the common bile duct,UNKNOWN:BLOCKAGE,UNKNOWN,,blockage in the common bile duct,0.0,Disease or Syndrome,fallback,[]
blockage of blood flow to lungs,[Event: blockage of blood flow to lungs],UNKNOWN:BLOCKAGE,UNKNOWN,,blockage of blood flow to lungs,0.0,Medical Concept,fallback,[]
blood and urine tests,[Event: blood and urine tests],C2910495,ICD10CM,C2910495,Blood and urine tests prior to treatment or procedure,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0427732"", ""name"": ""Urine blood test = ++"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0427731"", ""name"": ""Urine blood test is 1+"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0427733"", ""name"": ""Urine blood test is 3+"", ""source"": ""MTH"", ""score"": 0.5}]"
blood cholesterol,[Event: blood cholesterol],C0518017,MDR,C0518017,Blood cholesterol,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0853298"", ""name"": ""Blood cholesterol normal"", ""source"": ""MDR"", ""score"": 0.8}, {""umls_id"": ""C3842522"", ""name"": ""High blood cholesterol"", ""source"": ""LNC"", ""score"": 0.8}, {""umls_id"": ""C5232975"", ""name"": ""Low blood total cholesterol (TC)"", ""source"": ""OMIM"", ""score"": 0.5}]"
blood clot has developed in a hemorrhoid,[Event: blood clot has developed in a hemorrhoid],UNKNOWN:BLOOD CL,UNKNOWN,,blood clot has developed in a hemorrhoid,0.0,Medical Concept,fallback,[]
blood clot,[Event: blood clot],C0302148,MTH,C0302148,Blood Clot,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0333197"", ""name"": ""Fibrin blood clot"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0333193"", ""name"": ""Antemortem blood clot"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0333194"", ""name"": ""Postmortem blood clot"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
blood clots form,[Event: blood clots form],UNKNOWN:BLOOD CL,UNKNOWN,,blood clots form,0.0,Medical Concept,fallback,[]
blood donation,[Event: blood donation],C0005794,MTH,C0005794,Blood Donation,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0398309"", ""name"": ""Random blood donation"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C3879830"", ""name"": ""Blood donation rocker"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C4316802"", ""name"": ""Whole blood unit collection"", ""source"": ""MTH"", ""score"": 0.5}]"
blood poisoning,blood poisoning,C0036690,MTH,C0036690,Septicemia,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C0004610"", ""name"": ""Bacteremia"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0040524"", ""name"": ""Septic Toxemia"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0274606"", ""name"": ""Poisoning by whole blood"", ""source"": ""SNOMEDCT_US"", ""score"": 0.5}]"
blood pressure measured,[Event: blood pressure measured],C1314130,MTH,C1314130,Blood pressure measured (CKD)(DM),0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0005824"", ""name"": ""Blood pressure determination"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C1651662"", ""name"": ""Blood pressure measurement site"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C2964312"", ""name"": ""PhenX measure - blood pressure"", ""source"": ""MTH"", ""score"": 0.5}]"
blood pressure reaches its highest level,[Event: blood pressure reaches its highest level],UNKNOWN:BLOOD PR,UNKNOWN,,blood pressure reaches its highest level,0.0,Medical Concept,fallback,[]
blood test,blood test,C0427732,MTH,C0427732,Urine blood test = ++,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0854146"", ""name"": ""Abnormal blood test"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0018941"", ""name"": ""Hematologic Tests"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0427677"", ""name"": ""Blood compatibility test"", ""source"": ""MTH"", ""score"": 0.5}]"
blood testing for AIDS,[Event: blood testing for AIDS],UNKNOWN:BLOOD TE,UNKNOWN,,blood testing for AIDS,0.0,Medical Concept,fallback,[]
blood tests and bone marrow biopsy,[Event: blood tests and bone marrow biopsy],UNKNOWN:BLOOD TE,UNKNOWN,,blood tests and bone marrow biopsy,0.0,Medical Concept,fallback,[]
blood tests,blood tests,C0729751,SNOMEDCT_US,C0729751,Antenatal blood tests,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0558979"", ""name"": ""Serum blood tests"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0018941"", ""name"": ""Hematologic Tests"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0005790"", ""name"": ""Blood coagulation tests"", ""source"": ""MTH"", ""score"": 0.5}]"
blood transfusion,[Event: blood transfusion],C0005841,MTH,C0005841,Blood Transfusion,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0005842"", ""name"": ""Blood Transfusion, Autologous"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C0005843"", ""name"": ""Blood Transfusion, Intrauterine"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C0199961"", ""name"": ""Whole blood transfusion"", ""source"": ""MTH"", ""score"": 0.8}]"
blood volume,[Event: blood volume],C0005850,MTH,C0005850,Blood Volume,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C4521339"", ""name"": ""Specimen Blood Volume"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0085607"", ""name"": ""Increased blood volume"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0085608"", ""name"": ""Decreased blood volume"", ""source"": ""MTH"", ""score"": 0.8}]"
1,1,C5201140,MTH,C5201140,1 (finding),0.8,Medical Concept,umls_api,"[{""umls_id"": ""C5400649"", ""name"": ""Agreement Score 1"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C5202796"", ""name"": ""Intensity and Distress 1"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0227032"", ""name"": ""Permanent upper right third molar tooth"", ""source"": ""MTH"", ""score"": 0.5}]"
2,2,C5400652,MTH,C5400652,Agreement Score 2,0.8,Disease or Syndrome,umls_api,"[{""umls_id"": ""C0027832"", ""name"": ""Neurofibromatosis 2"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0227033"", ""name"": ""Maxillary right second molar tooth"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0205448"", ""name"": ""Two"", ""source"": ""MTH"", ""score"": 0.5}]"
3,3,C5401434,MTH,C5401434,Agreement Score 3,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C5201106"", ""name"": ""3 (disability score)"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C5234861"", ""name"": ""Structure of permanent maxillary right first molar tooth"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0205449"", ""name"": ""Three"", ""source"": ""MTH"", ""score"": 0.5}]"
4,4,C5401399,MTH,C5401399,Agreement Score 4,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C5200950"", ""name"": ""4 (disability score)"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0219308"", ""name"": ""BE 4-4-4-4"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C0038951"", ""name"": ""Surveys"", ""source"": ""MTH"", ""score"": 0.5}]"
5,5,C5201105,MTH,C5201105,5,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C5401426"", ""name"": ""Agreement Score 5"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C5203119"", ""name"": ""Intensity and Distress 5"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0227038"", ""name"": ""Maxillary right first premolar tooth"", ""source"": ""MTH"", ""score"": 0.5}]"
6,6,C5399941,MTH,C5399941,6,1.0,Disease or Syndrome,umls_api,"[{""umls_id"": ""C0442750"", ""name"": ""Distance vision 6/6"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C3491035"", ""name"": ""6'',6'''-diferuloylspinosin"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C5234862"", ""name"": ""Structure of permanent maxillary right canine tooth"", ""source"": ""MTH"", ""score"": 0.5}]"
7,7,C0134126,MSH,C0134126,Ortho Novum 7-7-7,0.8,Disease or Syndrome,umls_api,"[{""umls_id"": ""C0593972"", ""name"": ""7+14+7"", ""source"": ""CHV"", ""score"": 0.8}, {""umls_id"": ""C3257730"", ""name"": ""{7 (ethinyl estradiol 0.035 MG / norethindrone 0.5 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norethindrone 0.75 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norethindrone 1 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Alyacen 7/7/7]"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0205453"", ""name"": ""Seven"", ""source"": ""MTH"", ""score"": 0.5}]"
8,8,C0663742,MSH,C0663742,"8',8',8'-trifluoroabscisic acid",0.8,Medical Concept,umls_api,"[{""umls_id"": ""C1530960"", ""name"": ""8-hydroxy-8-methylidarubicinone"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C0601484"", ""name"": ""8-bromo-8-demethylriboflavin"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C1827697"", ""name"": ""Structure of permanent maxillary right central incisor tooth"", ""source"": ""MTH"", ""score"": 0.5}]"
9,9,C0132776,MTH,C0132776,nonoxynol-9,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0538928"", ""name"": ""9-dethia-9-oxoilmofosine"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C0219100"", ""name"": ""9-benzyl-9-deazaguanine"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C1827264"", ""name"": ""Structure of permanent maxillary left central incisor tooth"", ""source"": ""MTH"", ""score"": 0.5}]"
10,10,C3897631,MTH,C3897631,Severity of Symptom Score 10,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C5879800"", ""name"": ""Unit/10^10"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0085295"", ""name"": ""interleukin-10"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C1827422"", ""name"": ""Structure of permanent maxillary left lateral incisor tooth"", ""source"": ""MTH"", ""score"": 0.5}]"
11,11,C4317169,MTH,C4317169,Camptothecin-11,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0638605"", ""name"": ""11-fluoro-11-deoxyprostaglandin F2alpha"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C0044753"", ""name"": ""11-hydroxyprogesterone 11-glucuronide"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C0205457"", ""name"": ""Number eleven"", ""source"": ""MTH"", ""score"": 0.5}]"
12,12,C4764243,NCI,C4764243,12/12 HLA Match,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C3842732"", ""name"": ""12:00-12:30pm"", ""source"": ""LNC"", ""score"": 0.8}, {""umls_id"": ""C0123759"", ""name"": ""interleukin-12"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0227047"", ""name"": ""Maxillary left first premolar tooth"", ""source"": ""MTH"", ""score"": 0.5}]"
13,13,C2606943,MSH,C2606943,"apelin-13, Ala(13)-",0.8,Disease or Syndrome,umls_api,"[{""umls_id"": ""C0630269"", ""name"": ""13-methyl-13-dihydrodaunorubicin"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C4699486"", ""name"": ""13-11-13-10"", ""source"": ""LNC"", ""score"": 0.8}, {""umls_id"": ""C0227048"", ""name"": ""Maxillary left second premolar tooth"", ""source"": ""MTH"", ""score"": 0.5}]"
14,14,C2354764,MSH,C2354764,14-dehydroxy-14-fluorotriptolide,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C3851413"", ""name"": ""14-deoxy-14-methylenetriptolide"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C4699487"", ""name"": ""14-8-14-8"", ""source"": ""LNC"", ""score"": 0.8}, {""umls_id"": ""C0227051"", ""name"": ""Maxillary left first molar tooth"", ""source"": ""MTH"", ""score"": 0.5}]"
15,15,C3812148,MTH,C3812148,15 - answer to a question,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C5939065"", ""name"": ""15%"", ""source"": ""LNC"", ""score"": 0.8}, {""umls_id"": ""C0072826"", ""name"": ""quaternium-15"", ""source"": ""RXNORM"", ""score"": 0.8}, {""umls_id"": ""C0227052"", ""name"": ""Maxillary left second molar tooth"", ""source"": ""MTH"", ""score"": 0.5}]"
16,16,C3811621,MTH,C3811621,Age 16,0.8,Disease or Syndrome,umls_api,"[{""umls_id"": ""C0450328"", ""name"": ""16/16"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C3818734"", ""name"": ""bis-PEG PPG-16-16 PEG-PPG-16-16 dimethicone"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0227053"", ""name"": ""Maxillary left third molar tooth"", ""source"": ""MTH"", ""score"": 0.5}]"
17,17,C0450331,MTH,C0450331,Numeral 17,0.8,Disease or Syndrome,umls_api,"[{""umls_id"": ""C0045010"", ""name"": ""17-alpha-hydroxyprogesterone"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C1527262"", ""name"": ""17-(dimethylaminoethylamino)-17-demethoxygeldanamycin"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C1569661"", ""name"": ""17-hexamethylenediamine-17-demethoxygeldanamycin"", ""source"": ""MSH"", ""score"": 0.8}]"
18,18,C0759593,MSH,C0759593,18-oxo-18-vinylprogesterone,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C1576794"", ""name"": ""PEG-PPG-18-18-dimethicone"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0383327"", ""name"": ""Interleukin-18"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C5234866"", ""name"": ""Structure of permanent mandibular left second molar tooth"", ""source"": ""MTH"", ""score"": 0.5}]"
19,19,C0450337,MTH,C0450337,numeral 19,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C5420359"", ""name"": ""COVID-19 Vaccine Covax-19"", ""source"": ""NCI"", ""score"": 0.8}, {""umls_id"": ""C0010806"", ""name"": ""Keratin-19"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C5203670"", ""name"": ""COVID-19 Virus Disease"", ""source"": ""MTH"", ""score"": 0.8}]"
20,20,C0032600,MTH,C0032600,polysorbate 20,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C1827310"", ""name"": ""Distance vision 20/20"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C3842589"", ""name"": ""20%"", ""source"": ""LNC"", ""score"": 0.8}, {""umls_id"": ""C0227059"", ""name"": ""Mandibular left second premolar tooth"", ""source"": ""MTH"", ""score"": 0.5}]"
bloodstream and lymph nodes,[Event: bloodstream and lymph nodes],UNKNOWN:BLOODSTR,UNKNOWN,,bloodstream and lymph nodes,0.0,Medical Concept,fallback,[]
bloody phlegm,[Event: bloody phlegm],UNKNOWN:BLOODY P,UNKNOWN,,bloody phlegm,0.0,Medical Concept,fallback,[]
blow to the head within the past 24 hours,[Event: blow to the head within the past 24 hours],UNKNOWN:BLOW TO ,UNKNOWN,,blow to the head within the past 24 hours,0.0,Medical Concept,fallback,[]
body part,[Event: body part],C0229962,MTH,C0229962,Body part,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0021945"", ""name"": ""Body part inversion"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0935616"", ""name"": ""chamber [body part]"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0582955"", ""name"": ""Stretching body part"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
brain chemical messenger,[Event: brain chemical messenger],UNKNOWN:BRAIN CH,UNKNOWN,,brain chemical messenger,0.0,Medical Concept,fallback,[]
brain injury during fetal development,brain injury during fetal development,UNKNOWN:BRAIN IN,UNKNOWN,,brain injury during fetal development,0.0,Medical Concept,fallback,[]
branch of the artery is blocked,[Event: branch of the artery is blocked],UNKNOWN:BRANCH O,UNKNOWN,,branch of the artery is blocked,0.0,Medical Concept,fallback,[]
breast cancer or ovarian cancer,[Event: breast cancer or ovarian cancer],C0677776,MSH,C0677776,Hereditary Breast and Ovarian Cancer Syndrome,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C1332442"", ""name"": ""BRCA1-Associated Hereditary Breast and Ovarian Cancer Syndrome"", ""source"": ""NCI"", ""score"": 0.5}, {""umls_id"": ""C3280345"", ""name"": ""BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C2675520"", ""name"": ""BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 2"", ""source"": ""MTH"", ""score"": 0.5}]"
breast self-examination,[Event: breast self-examination],C0085105,MTH,C0085105,Breast Self-Examination,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0687538"", ""name"": ""Breast self-examination pad"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0204966"", ""name"": ""Breast self-examination technique education"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
breast tissue growth,[Event: breast tissue growth],UNKNOWN:BREAST T,UNKNOWN,,breast tissue growth,0.0,Medical Concept,fallback,[]
breastfeeding,breastfeeding,C1623040,MTH,C1623040,Breastfeeding (mother),0.8,Medical Concept,umls_api,"[{""umls_id"": ""C1171181"", ""name"": ""Breastfeeding support"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C1999013"", ""name"": ""Normal breastfeeding"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0516847"", ""name"": ""Breastfeeding weaning"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
breathing difficulties are alleviated,[Event: breathing difficulties are alleviated],UNKNOWN:BREATHIN,UNKNOWN,,breathing difficulties are alleviated,0.0,Medical Concept,fallback,[]
breathing problems,breathing problems,C5552431,MTH,C5552431,Things are outside that trigger breathing problems,0.8,Disease or Syndrome,umls_api,"[{""umls_id"": ""C4289277"", ""name"": ""Feel in Complete Control of Breathing Problems Question"", ""source"": ""NCI"", ""score"": 0.8}, {""umls_id"": ""C5552415"", ""name"": ""Things are in the house that trigger breathing problems"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C3899827"", ""name"": ""CCQ 24 Hour Version - Breathing Problems Limit Social Activity"", ""source"": ""NCI"", ""score"": 0.8}]"
breathing reaches its highest level,[Event: breathing reaches its highest level],UNKNOWN:BREATHIN,UNKNOWN,,breathing reaches its highest level,0.0,Medical Concept,fallback,[]
broken your leg or dislocated your knee,[Event: broken your leg or dislocated your knee],UNKNOWN:BROKEN Y,UNKNOWN,,broken your leg or dislocated your knee,0.0,Medical Concept,fallback,[]
buildup and drying out of stool,[Event: buildup and drying out of stool],UNKNOWN:BUILDUP ,UNKNOWN,,buildup and drying out of stool,0.0,Medical Concept,fallback,[]
bulimia,bulimia,C0006370,MTH,C0006370,Bulimia,1.0,Disease or Syndrome,umls_api,"[{""umls_id"": ""C2267227"", ""name"": ""Bulimia Nervosa"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0451050"", ""name"": ""Bulimia test"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0338960"", ""name"": ""Atypical bulimia nervosa"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
bursting and draining,[Event: bursting and draining],UNKNOWN:BURSTING,UNKNOWN,,bursting and draining,0.0,Medical Concept,fallback,[]
caffeine and alcohol,[Event: caffeine and alcohol],C0678479,CHV,C0678479,alcohol and caffeine,0.5,Medical Concept,umls_api,[]
called secondary tumors,[Event: called secondary tumors],UNKNOWN:CALLED S,UNKNOWN,,called secondary tumors,0.0,Medical Concept,fallback,[]
cancer has not spread to the lymph nodes,[Event: cancer has not spread to the lymph nodes],UNKNOWN:CANCER H,UNKNOWN,,cancer has not spread to the lymph nodes,0.0,Medical Concept,fallback,[]
cancer is highly curable,[Event: cancer is highly curable],UNKNOWN:CANCER I,UNKNOWN,,cancer is highly curable,0.0,Medical Concept,fallback,[]
cancer or other disorders,[Event: cancer or other disorders],UNKNOWN:CANCER O,UNKNOWN,,cancer or other disorders,0.0,Medical Concept,fallback,[]
cancer or viral or bacterial infection,[Event: cancer or viral or bacterial infection],UNKNOWN:CANCER O,UNKNOWN,,cancer or viral or bacterial infection,0.0,Medical Concept,fallback,[]
cancer progression,[Event: cancer progression],C1947901,MTH,C1947901,Cancer Progression,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C4016099"", ""name"": ""CANCER PROGRESSION AND TUMOR CELL MOTILITY"", ""source"": ""OMIM"", ""score"": 0.8}, {""umls_id"": ""C0178874"", ""name"": ""Tumor Progression"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C5444580"", ""name"": ""Cancer disease progression:Find:Pt:^Patient:Nom"", ""source"": ""MTH"", ""score"": 0.5}]"
cancer spread,[Event: cancer spread],C4086758,NCI,C4086758,Prostate Cancer Will Spread in One of Three Patients Within Ten Years Without Treatment Question,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C4086915"", ""name"": ""Treatment Decisions Should be Made Within Six Months or Prostate Cancer Can Spread Beyond Cure Question"", ""source"": ""NCI"", ""score"": 0.5}, {""umls_id"": ""C0027627"", ""name"": ""Neoplasm Metastasis"", ""source"": ""MTH"", ""score"": 0.5}, {""umls_id"": ""C0349530"", ""name"": ""Early gastric cancer"", ""source"": ""MTH"", ""score"": 0.5}]"
cancer,cancer,C0153567,MTH,C0153567,Uterine Cancer,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C0346627"", ""name"": ""Intestinal Cancer"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0750887"", ""name"": ""Adrenal Cancer"", ""source"": ""MTH"", ""score"": 0.8}, {""umls_id"": ""C0153398"", ""name"": ""Hypopharyngeal Cancer"", ""source"": ""MTH"", ""score"": 0.8}]"
cancerous polyps,[Event: cancerous polyps],C1316222,LNC,C1316222,Polyp stalk length:Prid:Pt:Specimen:Nom:CAP cancer protocols,0.5,Medical Concept,umls_api,"[{""umls_id"": ""C4526601"", ""name"": ""Colonoscopy with Marking of Cancerous Polyp"", ""source"": ""NCI"", ""score"": 0.5}, {""umls_id"": ""C4482703"", ""name"": ""Polyp in which invasive carcinoma arose:Type:Pt:Colorectal cancer specimen:Nom:Microscopy.light"", ""source"": ""LNC"", ""score"": 0.5}, {""umls_id"": ""C5177806"", ""name"": ""Polyp in which invasive carcinoma arose | Colorectal cancer specimen | Pathology"", ""source"": ""LNC"", ""score"": 0.5}]"
cancerous tumors on the visible part of the ear,[Event: cancerous tumors on the visible part of the ear],UNKNOWN:CANCEROU,UNKNOWN,,cancerous tumors on the visible part of the ear,0.0,Medical Concept,fallback,[]
